Type,Addr,Register Description
F32,3635,Actual Drive Gain (ETO32819 v2.1+)
U32,3635,Last Assert Line Number
U16,3637,"Software Build Type (Gas=21, Fork=22, CDM=23)"
U16,3638,ADZ Holdoff Temperature (ETO34269 v8.03+) (degC)
F32,3391,User SG -- ETO 18914
U16,3900,Snapshot Period Average Outputs Period (Seconds)
F32,3901,Snapshot Drive Gain Threshold Addition Override  (see reg 3927)
F32,3903,"Snapshot ""Cthresh"""
F32,3907,Snapshot Gas Void Fraction (Percent Units)
F32,3909,Snapshot Extended Drive Gain
U16,3911,"Snapshot Confidence (0=Low, 1=Med, 2=High)"
U16,3912,Snapshot Current Hold Value Count
F32,3913,Snapshot Current Mass Flow Hold Value
F32,3915,Snapshot Current Density Hold Value
F32,3917,Snapshot Current Volume Flow Hold Value
F32,3919,"Snapshot Current Decoupling Ratio ""A"""
F32,3921,Snapshot Drive Gain Low
F32,3923,Snapshot Drive Gain Threshold Period (Seconds)
F32,3925,Snapshot Initial Drive Gain Threshold
F32,3927,Snapshot Drive Gain Threshold Addition
F32,3929,Snapshot Confidence Drive Gain Threshold #1
F32,3931,Snapshot Confidence Drive Gain Threshold #2
F32,3933,Snapshot Confidence GVF Threshold #1
F32,3935,Snapshot Gas Density
U16,3937,Snapshot Peak Detect Buffer Size
U16,3938,Snapshot Number of Low Drive Gain Sections
U16,3939,Snapshot Drive Gain Buffer Size
U16,3940,Snapshot Output Type  (see type codes)
F32,3941,Snapshot Current Extended Drive Gain Threshold
F32,3943,Snapshot Unremediated Mass Flow
F32,3945,Snapshot Unremediated Density
F32,3947,Snapshot Unremediated Volume Flow
F32,3949,Snapshot Period Average Output Mass Flow
F32,3951,Snapshot Period Average Output Density
F32,3953,Snapshot Period Average Output Volume Flow
F32,3955,Snapshot Period Average Output Net Oil Flow @Line
F32,3957,Snapshot Period Average Output Net Oil Flow @60F
F32,3959,Snapshot Period Average Output Watercut @Line
F32,3961,Snapshot Period Average Output Gas Void Fraction
F32,3963,Snapshot Period Average Output Line Temperature
U16,3965,Snapshot Period Average Output Confidence
U16,3966,Snapshot Contract Period Start Hour (0-23)
U16,3967,"Snapshot Contract Period #1 Source Tot/Inv (PVcodes: 2,4,6,7,17,18,24,25,27,28,30,31,63,64)"
U16,3971,"Snapshot (APM2.0) - Drive Gain Threshold Override (See 3996), 0=manual 1=auto"
F32,3972,"Snapshot Contract Period #1 ""Today's"" (Current) Total"
F32,3974,"Snapshot Contract Period #2 ""Today's"" (Current) Total"
F32,3976,"Snapshot Contract Period #3 ""Today's"" (Current) Total"
F32,3978,"Snapshot Contract Period #4 ""Today's"" (Current) Total"
F32,3980,"Snapshot Contract Period #1 ""Yesterday's"" (Previous) Total"
F32,3982,"Snapshot Contract Period #2 ""Yesterday's"" (Previous) Total"
F32,3984,"Snapshot Contract Period #3 ""Yesterday's"" (Previous) Total"
F32,3986,"Snapshot Contract Period #4 ""Yesterday's"" (Previous) Total"
F32,3988,"Override for Density Hold Value, -1=no override."
F32,3990,Modbus External Watercut Input Value (Not used for mAI Watercut)
F32,3992,Snapshot Meter Factor for Shrinkage Calculations
F32,3994,Snapshot Watercut Hold Override
F32,3996,Snapshot Watercut Hold Override
F32,4001,"K0, Instrument Calibration Factor"
F32,4003,"K1, Instrument Calibration Factor"
F32,4005,"K2, Instrument Calibration Factor"
F32,4007,"K18, Instrument Calibration Factor"
F32,4009,"K19, Instrument Calibration Factor"
F32,4011,"KV4, Instrument Calibration Factor (Calibration range indexed by register 4022)"
F32,4013,"KV5, Instrument Calibration Factor (Calibration range indexed by register 4022)"
F32,4015,"KV6, Instrument Calibration Factor (Calibration range indexed by register 4022)"
F32,4017,Velocity of Sound of Calibration fluid
F32,4019, Velocity of Sound of Measured fluid
U16,4021,Orion Calibration Status
U16,4022,KV Calibration Factor Index (0-1)
F32,4023,KV Calibration Crossover Point (based on Quality Factor)
F32,4025,Override limit for KDV time period check
F32,4027,ASTM Multi Curve Coefficient A
F32,4029,ASTM Multi Curve Coefficient B
F32,4031,"K20A1, Constant used to compute K20"
F32,4031,"A1, Density Calibration Constant"
F32,4033,"K20B1, Constant used to compute K20"
F32,4033,"A2, Density Calibration Constant"
F32,4035,"K20C1, Constant used to compute K20"
F32,4035,"A3, Density Calibration Constant"
F32,4037,"K20A2, Constant used to compute K20"
F32,4037,"A4, Density Calibration Constant"
F32,4039,"K20B2, Constant used to compute K20"
F32,4039,"A5, Density Calibration Constant"
F32,4041,"K20C2, Constant used to compute K20"
F32,4041,"A6, Density Calibration Constant"
F32,4043,"K21A1, Constant used to compute K21"
F32,4043,"A7, Density Calibration Constant"
F32,4045,"K21B1, Constant used to compute K21"
F32,4045,"A8, Density Calibration Constant"
F32,4047,"K21C1, Constant used to compute K21"
F32,4047,"A9, Density Calibration Constant"
F32,4049,"K21A2, Constant used to compute K21"
F32,4049,Value for a fixed viscosity in  simulation mode
F32,4051,"K21B2, Constant used to compute K21"
F32,4051,Min. amplitude of Sine / Sawtooth wave for viscosity
F32,4053,"K21C2, Constant used to compute K21"
F32,4053,Max. amplitude of Sine / Sawtooth wave for viscosity
F32,4055,"KF1, Instrument Calibration Factor"
F32,4055,Period of Sine / Sawtooth wave for viscosity
F32,4057,"KF2, Instrument Calibration Factor"
F32,4059,"Va, Liquid VOS"
F32,4061,Mobrey Density
F32,4065,Pressure Offset
F32,4067,Density Offset
F32,4069,Pressure Crossover from low pressure to high pressure
F32,4069,Density Meter Factor
F32,4071,Flow velocity
F32,4073,Fixed Flow Velocity value (m/sec)
U16,4075,Flow velocity units
U16,4076,Select predefined concentration equations
F32,4077,Flow Velocity Cut Off
F32,4079,Flow Velocity Hi Limit
F32,4081,Flow Velocity Lo Limit
F32,4083,Flow Velocity Span
F32,4085,"Flow Velocity/Viscosity Damping (used for velocity on CDM, used for viscosity for FVM and HFVM)"
F32,4087,Time Period A (u/sec)
F32,4089,Alternate Pressure
F32,4089,Time Period B (u/sec) 
F32,4091,Special Equation Output
F32,4093,Programmable Constant A for Special Equation 
F32,4095,Programmable Constant B for Special Equation 
F32,4097,Programmable Constant C for Special Equation (X for Special Equation Type I)
F32,4099,Programmable Constant E for Special Equation (Y for Special Equation Type I)
F32,4101,Programmable Constant F for Special Equation 
F32,4103,Programmable Constant a for Special Equation 
F32,4105,Programmable Constant  b for Special Equation
F32,4107,Programmable Constant  c for Special Equation
F32,4109,Progarammable Constant  d for Special Equation
F32,4111,Programmable Constant  e for Special Equation
F32,4113,Programmable Constant  f for Special Equation
U16,4115,Pointer a  for Special Equation
U16,4116,Pointer b  for Special Equation
U16,4117,Pointer c  for Special Equation
U16,4118,Pointer d  for Special Equation
U16,4119,Pointer e  for Special Equation
U16,4120,Pointer f for Special Equation
F32,4121,User Defined Water Density (Air Density for gas meters)
F32,4123,User Defined Base Density
F32,4123,User Defined Density at 20C (ETO38819)
A8,4125,Special Equation unit string
F32,4129,Gas Base Density
F32,4131,Percent CO2
F32,4133,Percent N2
F32,4135,Compressibility
F32,4137,Gas SG 
F32,4139,Base Pressure
F32,4141,Base Compressibility
F32,4143,Base Temperature
F32,4145,Superior Calorific Value (RW for 5700; RO for others)
F32,4147,Wobbe Index
A8,4149,Special density  unit string
U16,4153,Base density unit for special density unit
U16,4154,Base kinematic viscosity unit for special kinematic viscosity unit
F32,4155,Special density unit conversion factor
F32,4157,Quality Factor
F32,4159,Dynamic Viscosity
F32,4161,Kinematic Viscosity
U16,4163,Dynamic Viscosity Unit
U16,4164,Kinematic Viscosity Unit
U16,4165,"Viscosity value range selection (0=ultra low, 1=low, 2=medium, 3=high)"
F32,4166,V0 at the selected range
F32,4168,V1 at the selected range
F32,4170,V2 at the selected range
F32,4172,Range scale at the selected range
U16,4174,Viscosity range switch setpoint index (see the Range Switch Setpoint Index table)
F32,4175,Viscosity range switch setpoint (at the index selected by register 4174)
F32,4177,Viscosity Hysteresis
F32,4179,Viscosity Compression Filter Parameter
F32,4181,Orion Simulated Temperature Value
F32,4183,User Defined Line Compressibility 
F32,4185,Viscosity Offset
A8,4187,Special dynamic viscosity  unit string
A8,4191,Special kinematic viscosity  unit string
F32,4195,Special dynamic viscosity unit conversion factor
F32,4197,Special kinematic viscosity unit conversion factor
U16,4199,Base dynamic viscosity unit for special dynamic viscosity unit
F64,4200,Mass Total - Double - user units
F64,4204,Line (Gross) Volume Total - Double - user units
F64,4208,API: Temp/Pressure Corrected Volume Total - Double - user units
F64,4212,Enhanced Density: Standard Volume Total - Double - user units
F64,4216,Enhanced Density: Net Mass Total - Double - user units
F64,4220,Enhanced Density: Net Volume Total - Double - user units
F64,4224,Gas Standard Volume Total - Double - user units
F64,4228,Mass Inventory - Double - user units
F64,4232,Line (Gross) Volume Inventory - Double - user units
F64,4236,API: Temp/Pressure Corrected Volume Inventory - Double - user units
F64,4240,Enhanced Density: Standard Volume Inventory - Double - user units
F64,4244,Enhanced Density: Net Mass Inventory - Double - user units
F64,4248,Enhanced Density: Net Volume Inventory - Double - user units
F64,4252,Gas Standard Volume Inventory - Double - user units
F64,4256,Mass Forward Total - Double - user units  (Bunkering)
F64,4260,Mass Forward Invemtory - Double - user units  (Bunkering)
F64,4264,Mass Reverse Total - Double - user units  (Bunkering)
F64,4268,Mass Reverse Invemtory - Double - user units  (Bunkering)
U16,4201,"Liq. Vol. Flow waveform selection (1=fixed value, 2=sawtooth, 3=sine wave)"
U16,4202,"Gas Vol. Flow waveform selection (1=fixed value, 2=sawtooth, 3=sine wave)"
U16,4203,"Drive Gain waveform selection (1=fixed value, 2=sawtooth, 3=sine wave)"
U16,4204,"Pressure waveform selection (1=fixed value, 2=sawtooth, 3=sine wave)"
U16,4205,"Water Cut waveform selection (1=fixed value, 2=sawtooth, 3=sine wave)"
F32,4207,Value for a fixed liquid volume flow in  simulation mode
F32,4209,Min. amplitude of Sine / Sawtooth wave for liquid volume flow
F32,4211,Max. amplitude of Sine / Sawtooth wave for liquid volume flow
F32,4213,Period of Sine / Sawtooth wave for liquid volume flow
F32,4215,Value for a fixed gas volume flow in  simulation mode
F32,4217,Min. amplitude of Sine / Sawtooth wave for gas volume flow
F32,4219,Max. amplitude of Sine / Sawtooth wave for gas volume flow
F32,4221,Period of Sine / Sawtooth wave for gas volume flow
F32,4223,Value for a fixed drive gain in  simulation mode
F32,4225,Min. amplitude of Sine / Sawtooth wave for drive gain 
F32,4227,Max. amplitude of Sine / Sawtooth wave for drive gain 
F32,4229,Period of Sine / Sawtooth wave for drive gain 
F32,4231,Value for a fixed pressure in  simulation mode
F32,4233,Min. amplitude of Sine / Sawtooth wave for pressure
F32,4235,Max. amplitude of Sine / Sawtooth wave for pressure
F32,4237,Period of Sine / Sawtooth wave for pressure 
F32,4239,Value for a fixed water cut in  simulation mode
F32,4241,Min. amplitude of Sine / Sawtooth wave for water cut
F32,4243,Max. amplitude of Sine / Sawtooth wave for water cut
F32,4245,Period of Sine / Sawtooth wave for water cut
A16,4247,Channel A Descriptor
A16,4255,Channel B Descriptor
A16,4263,Channel C Descriptor
U16,4271,Core Processor Slave Address
U16,4272,"Master type connected to sensor simulator (0 = 3500, 1 = NOC)"
U16,4273,Process Comparator Delay (ETO17461)
F64,4274,2nd Mass Total - Double - user units
F64,4278,2nd Volume Total - Double - user units
F64,4282,2nd Gas Standard Volume Total - Double - user units
F64,4286,Differential Mass Total - Double - user units
F64,4290,Differential Mass Inventory- Double - user units
F32,4294,ETO32172 Meter Factor for low density setpoint
F32,4296,ETO32172 Meter Factor for high density setpoint
F32,4298,ETO32172 Applied Correction Factor 
U16,4300,"LD Control (1=Use hard-coded liquid hydrocarbon coeffs, 2=Use Custom Coeffs (4303-4355) w/API dens, 3=Use Custom Coeffs (4303-4355) w/Line dens) default = 1."
F32,4301,Low Correction Cutoff 
F32,4303,Density ISO 1 
F32,4305,Density ISO 2 
F32,4307,Density ISO 3 
F32,4313,Temperature ISO 1
F32,4315,Temperature ISO 2 
F32,4317,Slopefor D1/T1 
F32,4319,Slope for D2/T1
F32,4321,Slope for D3/T1
F32,4327,Offset for D1/T1
F32,4329,Offset for D2/T1
F32,4331,Offset for D3/T1
F32,4337,Slope for D1/T2
F32,4339,Slope for D2/T2
F32,4341,Slope for D3/T2
F32,4347,Offset for D1/T2
F32,4349,Offset for D2/T2
F32,4351,Offset for D3/T2
F32,4357,Current Velocity  (m/sec)  (PV=208)
F32,4359,Current Correction (%)
F32,4361,Current % of Maximum Error Limit (PV=217)
F32,4363,Upper Correction Limit %
F32,4365,Lower Correction Limit %
F32,4367,"Drive Gain Threshold for Current % of Maximum Error Limit  Calc, (%) "
F32,4369,Average Batch Drive Gain Threshold (%) (a.k.a. BATCH_AVE_DG_CUTOFF)
F32,4371,MID 0.5% PASS Threshold (Units of %)
F32,4373,Constant used for Current % of Maximum Error Limit Calc (unitless) (a.k.a. ES)
U32,4375,Reset Time - time when Rest button was pushed on PPI Bunker Operations screen
F32,4377,Drive Gain Cal Limit (%) (a.k.a. SSC)
F32,4379,Minimum Measured Quantity (Mass Total Units) (a.k.a. MMQ)
U16,4381,MID Certificate Number
F32,4383,Dead Volume (Mass Total Units)
F32,4385,Pickoff Threshold for X Calc (Volts) (a.k.a LPO_T  )
F32,4387,Constant used for Current % of Maximum Error Limit Calc (unitless) (a.k.a. EM)
F32,4389,Maximum Allowable MID error (%) (a.k.a. ERR_T)
U16,4391,Bunker Log Index to Print to External Printer (0=current ticket; 1-5=historical tickets; 255=nothing to print)
U16,4392,Bunker Log Index
U32,4393,Print Time
U32,4395,Reset Time
F32,4397,Mass Total
F32,4399,Mass Inventory
F32,4401,Average Temperature
F32,4403,Percent Max Aeration Limit
U16,4405,Active Alarms during ticket? (0=none; 1=yes)
U16,4406,Aeration Limit Exceeded?  (0=OIML 1% Class Fail; 1=OIML 1% Class Pass; 2 = OIML 0.5% Class Fail; 3 = OIML 0.5% Class Pass)
U16,4407,Minimum Measured Quantity Exceeded?  (0=fail; 1=pass)
U16,4408,No Power Interrupt?  (0=fail; 1=pass)
U16,4409,Overall OIML R117-1 Passed?  (0 = fail; 1 = pass; 2 = pass with high aeration; 3 = pass with temp out of range; 4 = pass with both high aeration and temp out of range)
U32,4410,Bunker Stop time - totals stopped
U32,4412,Bunker Start time - totals started
U32,4414,BOL
F32,4416,Average Density (uses reg 4392 as the log index
F32,4418,Average Density @ Temp
F32,4420,Gross Volume Total
F32,4422,Net Volume Total
F32,4424,Mass Total In Vacuum
F32,4426,Mass Total in Air
F32,4428,Bunker Start Forward Mass Inventory
F32,4430,Bunker End Forward Mass Inventory
F32,4432,Bunker Start Reverse Mass Inventory
F32,4434,Bunker End Reverse Mass Inventory
U16,4436,Bunker Ticket Failed to Print (1=fail; 0=pass)
U16,4437,Delay Before Posting Time Period Out of Range Alarm (seconds) ETO 27261
F32,4438,Differential Mass Flow
F32,4440,Differential Mass Total
F32,4442,Differential Mass Inventory
F32,4444,Differential Low Flow Cut Off
F32,4446,Differential Mass Flow Dampening
F32,4448,Differential Auto Zero
U16,4450,"PVR Action (ETO22166)  (0=Hold Last Value, 1=Alert Only, 2=User Oil Density)  Gen5 Snapshot NOC (PVR)(0=Liquid Density, 1=Density Oil@Line)"
F32,4451,Fork Drive Current
F32,4453,Gas Frequency Output Filter Coefficient
F32,4455,Gas Amplitude Scale Factor
F32,4457,Fork Frequency Output Filter Coefficient
F32,4459,Fork Amplitude Scale Factor
F32,4461,Differential Auto Zero Max 
F32,4463,Differential Auto Zero Min
F32,4465,Sales Density
U16,4473,HART Polling Control Code #4 (see polling control code table)
A8,4474,HART Polling Tag #4
U16,4478,Polled Variable #3 Code (see process variable codes table)
U16,4479,Polled Variable #4 Code (see process variable codes table)
U16,4480,SGERG Method (see SGERG Mehod codes table)
F32,4481,Fork Viscosity F0 Frequency value
F32,4483,Fork Viscosity F0 Phase value
F32,4485,Fork Viscosity F1 Frequency value
F32,4487,Fork Viscosity F1 Phase value
F32,4489,Fork Viscosity F2 Frequency value
F32,4491,Fork Viscosity F2 Phase value
F32,4493,Gas Drive Phase Slope
F32,4495,Gas Drive Phase Offset
F32,4497,Fork Drive Phase Slope
F32,4499,Fork Drive Phase Offset
F32,4501,Primary Referred Viscosity
F32,4503,Secondary Referred Viscosity
F32,4505,Ignition Index (CCAI )
U16,4507,"Fork Tine Length (0=short, 1=long)"
U16,4508,Gas Input Units
F32,4509,Tube-case temperature differential
F32,4511, Average Time Period on Air/Vacuum (sensor check)
F32,4513,Time Period Stability ( sensor check)
U16,4515,KDV Results (See sensor check results codes)
U16,4516,KDV Failure Bits
F32,4517,Factory Average Drive Gain for KDV
U16,4521,Referred viscosity calculation method
U16,4522,"Referred Viscosity Configuration Curve Index (for Matrix method, n = 0-5 ; for ASTM method, n = 0-7)"
U16,4523,"Referred Viscosity Temperature Isotherm Index (for Matrix method, n = 0-5; for ASTM method, n = 0-1)"
U16,4524,"Referred Viscosity Maximum Fit Order for 6x6 matrix (order=2,3,4,5)"
F32,4525,Referred Viscosity Temperature Isothermx Value (6x1) (Indexed by register #4523) 
F32,4527,"Referred Viscosity (6x6) @ Temp. IsothermX, Curven (Indexed by register #4522 and #4523)"
F32,4529,Referred Viscosity Reference Temperature 1
F32,4531,Referred Viscosity Reference Temperature 2
F32,4533,Referred Viscosity Curve Fit Expected Accuracy
U16,4535,"Referred Viscosity Curve Fit Result (0=Good, 1=Poor, 2=Failed, 3=Empty)"
U16,4536,"Referred Viscosity Input Source Selection (for matrix method only) (163=Kinematic, 162=Dynamic) "
U16,4537,Number of ASTM Reference Curves (n = 2-8)
F32,4538,"ASTM Temperature Value  (2X8) @ point 1 or point 2,  Curven(n=0-7) (Indexed by register #4522 and #4523)"
F32,4540,"ASTM Referral Viscosity (2X8) @ TemperatureX , Curven(n=0-7) (Indexed by register #4522 and #4523)"
F32,4542,User SG/RD/MW for calibration gas 1
F32,4544,User SG/RD/MW for calibration gas 2
F32,4546,Average Time Period for calibration gas 1
F32,4548,Average Time Period for calibration gas 2
U16,4550,Molecular Weight Units
F32,4551,Molecular Weight of Air
U16,4553,Calorific Value Units
U16,4554,Energy Flow Units
F32,4555,Simulated Time Period B Value
F32,4557,Maximum Curve Fit Error for Viscosity Matrix Referral
F32,4559,Base Density for Line Density Calculation
F32,4561,Base Density for Sensor Check
U16,4564,Elevation above sea level for Known Density Verification (See Elevation above sea level codes)
F32,4565,Lab Viscosity for Viscosity Scaling Factor Calibration
F32,4567,Percent H2
F32,4569,Mag Meter Volume Flow 
F32,4571,Mass Flow from Mag Meter Volume Input
F32,4573,Ignition Index (CII )
F32,4575,Gas Relative Density
F32,4577,Gas Molecular Weight
F32,4579,Temperature Average ( sensor check)
F32,4581,Drive Gain Average ( sensor check)
F32,4583,Drive Gain Stability ( sensor check)
F32,4585,Percent CO
F32,4587,Temperature Stability ( sensor check)
U16,4589,API Reference Density Units
U16,4590,Wobbe Index Units
F32,4591,Case Temperature Average ( sensor check)
F32,4593,Case Temperature Stability ( sensor check)
F32,4595,Simulated Quality Factor Value
F32,4597,Corrected Volume from Coriolis Meter Input
F32,4599,Mass Input from Coriolis Meter
F32,4601,Alternate Pressure
F32,4603,Energy Flow
F32,4605,Gas K0 
F32,4607,Gas K1
F32,4609,Gas K2
F32,4611,Gas K18
F32,4613,Gas K19
U16,4615,Gas Calibration Set Index
F32,4616,Shrinkage Factor Corrected Net Oil Total @ Line
F32,4618,Shrinkage Factor Corrected Net Oil Total @ Reference
F32,4620,Tube Cross Sectional Area
U16,4622,Special Equation Type
U16,4623,Base Viscosity Units
F32,4624,RTD Calibration Coefficient A
U16,4626,"Active Gas Calibration Set Index (0 only for GDM, 0-3 for SGM)"
F32,4628,K0 Legacy Calibraion Constant
F32,4630,K1 Legacy Calibraion Constant
F32,4632,K2 Legacy Calibraion Constant
F32,4634,K18 Legacy Calibraion Constant
F32,4636,K19 Legacy Calibraion Constant
F32,4638,"K20A, Constant used to compute K20"
F32,4640,"K20B, Constant used to compute K20"
F32,4642,K21A Constant used to compute K21
F32,4644,"K21B, Constant used to compute K21"
U16,4646,"Index for K20A, K20B, K21A, and K21B legacy coefficients (0-3)"
U16,4647,"Index for K0, K1, and K2 Legacy coefficients (0-1)"
F32,4648,Time Period A (in microseconds)
F32,4650,Time Period B (in microseconds)
F32,4652,K22 Legacy Calibration Coefficient
F32,4654,K23 Legacy Calibration Coefficient
F32,4656,Floating Point Software Version
U16,4658,Calibration Points for Gas SG (2 or 3)
U16,4659,Configuration Gas Calibration Set Index (0-3)
F32,4660,Time Period for Gas K0 Calibration
F32,4662,Time Period for Gas K1 Calibration
F32,4664,Time Period for Gas K2 Calibration
F32,4666,SG/RD/MW for Gas K0 Calibration
F32,4668,SG/RD/MW for Gas K1 Calibration
F32,4670,SG/RD/MW for Gas K2 Calibration
U16,4672,Low Limit Gas Type
U16,4673,Medium Limit Gas Type
U16,4674,High Limit Gas Type
U16,4675,Stability Threshold (in nanoseconds) to determine Stable/Unstable (coil 445)
F32,4676,Gas Drive Current
U16,4678,Gas K18/K19 Index
F32,4679,SG Calibration Stability
U16,4681,"Index for KDV results (0= factory, 1 = user)"
F32,4682,K3 (VOS Correction Factor)
F32,4684,K4 (VOS Correction Factor)
F32,4686,Temperature of VOS Calibration gas
F32,4688,Temperature of VOS Measured gas
F32,4690,Temperature Differential Average (Health Check)
F32,4692,Temperature Differential Stability (Health Check)
F32,4694,SGM Time Period / Temperature Sensitivity Coefficients (0 to 4)  Coefficient 5 added in register 4776
U16,4696,SGM Time Period / Temperature Sensitivity Coefficient Index
F32,4697,RTD Calibration Coefficient B
F32,4699,RTD Calibration Coefficient C
U16,4701,Current Viscosity Range
U16,4702,"Bit #0 – Line Pressure for Line Compressibility Out-Of-Range (NX19, NX19-mod, NX19-mod3)"
U16,4703,"Bit #0 –Base Pressure for Base Compressibility Out-Of-Range (NX19, NX19-mod, NX19-mod3)"
F64,4704,Double Precision Frequency
F32,4708,Diagnostic Input Density
F32,4710,Diagnostic Density Calculation
U16,4712,KDV Factory Baseline Pass/Fail Criteria (in nanoseconds)
U16,4713,KDV Factory Baseline Wait Time (in minutes)
U16,4714,"Pressure Input Type (0 = Polled, 1 = Dig.Comm, 2 = Fixed)"
F32,4716,"SG, MW, or RD of Primary Gas for Gas Purity Calculations"
F32,4718,"SG, MW, or RD of Secondary Gas for Gas Purity Calculations"
F32,4720,Gas Specific Gravity for Calibration Range 2
F32,4722,Gas Specific Gravity for Calibration Range 3
F32,4724,Gas Specific Gravity for Calibration Range 4
F32,4726,Gas Molecular Weight for Calibration Range 2
F32,4728,Gas Molecular Weight for Calibration Range 3
F32,4730,Gas Molecular Weight for Calibration Range 4
U16,4732,"Fluid for KDV on user fluid ((0=water, 1= user fluid)"
U16,4733,"Gas Purity Data Type (0=SG, 1=MW, 2=RD)"
F32,4734,Fork Long Ki
F32,4736,Fork Long Kp
F32,4738,Fork Short Ki
F32,4740,Fork Short Kp
F32,4742,Fork Long Air Mode
F32,4744,Fork Short Air Mode
F32,4746,Fork Phase Override
U16,4748,API Calculation Status
F32,4749,Setpoint for CM switching for high concentration sulfuric acid.
U32,4751,Bunkering - Critical Alarm Failure Status Register 1
U32,4753,Bunkering - Critical Alarm Failure Status Register 2
U32,4755,Bunkering - Critical Alarm Failure Status Register 3
F32,4757,Bunkering MID Density Limit High
F32,4759,Bunkering MID Density Limit Low
F32,4761,Bunkering MID Temperature Limit High
F32,4763,Bunkering MID Temperature Limit Low
F32,4765,Bunkering MassTotal in Air
F64,4767,Bunkering Double MassTotal in Air
U16,4771,Bunkering Log Mass Roll Over Flag
F32,4772,Water Density for Inline Calibration Check
F32,4774,"SGM Time Period / Temperature Sensitivity Coefficient 5 (Added coefficient, see register 4694)"
F32,4776,SGM Temperature Array for Time Period Sensitivity
F32,4778,SGM Temperature Array for Time Period Sensitivity
F32,4780,Reference Temperature for Inline Calibration Check
F32,4782,Reference Pressure for Density Offset Calibration
F32,4784,Calculated Water Density at Reference Conditions for Density Offset Calibration
U16,4786,Undefined
F32,4787,Inline Calibration Check Result
F32,4789,Q Values for Viscosity Range Switching
F32,4791,Timeout for Drive Gain Hold Last Measured Value
F32,4793,Limit for Inline Calibration Check on Water
F32,4796,Shrinkage Factor Corrected Net Oil Total @ Line
F32,4798,Bunkering Mass in Air Factor
U32,4800,"HOG - Max number of bytes, total of all potential files created"
U16,4802,HOG - Number of files to be created  (Use coil 525 to update this value)
U16,4803,"HOG - Write Operation Status ( In Progress=0, Fail=1, Success=2, Aborted=3 )"
U32,4804,HOG - Request Start Time/Date (# of sec format)
U16,4806,HOG -Request # of days (For use with coil 525)
U16,4807,"HOG -Request Details (Bit0: 0=Fast, 1=Slow)(Bit1: 1=Sdcard 0=USB)"
F32,4808,HOG -Progress Indicator (0-100%)
U16,4900,Gen5 Burst Mode Enable
F32,4901,DB_FRF_LPO_AIR_STIFF
F32,4903,DB_FRF_RPO_AIR_STIFF
F32,4905,DB_FRF_LPO_WATER_STIFF
F32,4907,DB_FRF_RPO_WATER_STIFF
F32,4909,DB_FRF_LPO_AIR_MASS
F32,4911,DB_FRF_RPO_AIR_MASS
F32,4913,DB_FRF_LPO_WATER_MASS
F32,4915,DB_FRF_RPO_WATER_MASS
F32,4917,DB_FRF_AIR_DAMPING
F32,4919,DB_FRF_WATER_DAMPING
F32,4921,DB_FRF_AMP_CAL_T1_RE
F32,4923,DB_FRF_AMP_CAL_T1_IM
F32,4925,DB_FRF_AMP_CAL_T2_RE
F32,4927,DB_FRF_AMP_CAL_T2_IM
F32,4929,DB_FRF_AMP_CAL_T3_RE
F32,4931,DB_FRF_AMP_CAL_T3_IM
F32,4933,DB_FRF_AMP_CAL_T4_RE
F32,4935,DB_FRF_AMP_CAL_T4_IM
F32,4937,DB_FRF_AMP_CAL_DR_RE
F32,4939,DB_FRF_AMP_CAL_DR_IM
U16,4941,Tertiary MAO (#3) Source (See Milliamp Output Assignment Codes)
U16,4942,Tertiary MAO (#3) Fault Indication (See Analog Fault Codes Table)
F32,4943,Tertiary MAO (#3) Actual Value
F32,4945,Tertiary MAO (#3) Damping
F32,4947,Tertiary MAO (#3) Cutoff
F32,4949,Tertiary MAO (#3) URV (20mA point)
F32,4951,Tertiary MAO (#3) LRV (4mA point)
F32,4953,Tertiary MAO (#3) Trim Low
F32,4955,Tertiary MAO (#3) Trim High
F32,4957,Tertiary MAO (#3) Fault Setting
F32,4959,Tertiary MAO (#3) Fixed Value
U16,4961,Secondary FO (#2) Source (see Frequency Output Assignment Codes)
U16,4962,Secondary FO (#2)  Fault Indication (See Analog Fault Codes Table)
F32,4963,Secondary FO (#2) Actual Value
F32,4965,Secondary FO (#2) Fixed Value
F32,4967,Secondary FO (#2) Fault Setting for upscale
F32,4969,Secondary FO (#2) Frequency Factor
F32,4971,Secondary FO (#2) Flow Rate Factor
F32,4973,Secondary FO (#2) Pulses Per Unit
F32,4975,Secondary FO (#2) Units Per Pulse
F32,4977,Secondary FO (#2) Max Pulse Width
F32,4979,MAI 20mATrim Constant
F32,4981,MAI 4mATrim Constant
F32,4983,MAI Damping
F32,4985,Max Drive Current Allowed
U16,4987,Primary MAO (#1) Direction (See MAO Direction Codes)
U16,4988,Secondary MAO (#2) Direction (See MAO Direction Codes)
U16,4989,Tertiary MAO (#3) Direction (See MAO Direction Codes)
U16,4990,Primary FO (#1) Direction (See FO Direction Codes)
U16,4991,Secondary FO (#2) Direction (See FO Direction Codes)
U16,4997,Burst Status from Core
F32,4998,Totalizer History Progress (0%-100%)
U16,4999,Mercury & Qiming Feature Key (refer to Mercury & Qiming Feature Key codes)
U16,5000,Feature Key (refer to Feature Key codes)
U16,5001,Output ASIC LIOR Register (lower 8 bits of register)
U16,5002,Milliamp Output 2 PWM counts
